price,property_tax,insurance,beds,baths,sqft,lot_size,basement,property_type,popular,recession,property_age
295850,234,81,1,1,584,0,0,Condo,0,1,0
216500,169,51,1,1,612,0,1,Condo,0,0,41
279900,216,74,1,1,615,0,0,Condo,0,1,49
379900,265,92,1,1,618,33541,0,Condo,0,0,5
340000,88,30,1,1,634,0,0,Condo,0,0,10
265000,168,58,1,1,641,0,0,Condo,0,0,57
240000,176,61,1,1,642,0,0,Bunglow,0,1,67
388100,266,92,1,1,650,33541,0,Condo,0,0,5
240000,188,65,1,1,660,0,0,Condo,0,1,30
250000,147,51,1,1,664,0,0,Condo,0,0,42
335000,248,86,1,1,669,0,0,Condo,0,0,9
376750,262,90,1,1,673,46609,0,Condo,0,0,1
210000,147,44,1,1,680,0,1,Condo,0,0,43
289900,195,68,1,1,685,48787,0,Condo,0,0,45
535000,421,146,1,1,687,0,0,Condo,0,0,6
218000,188,57,1,1,689,0,1,Condo,0,0,21
400000,276,96,1,1,689,0,0,Condo,0,0,8
226000,221,67,1,1,690,0,1,Condo,0,0,11
363700,302,104,1,1,692,0,0,Condo,0,0,0
215000,120,42,1,1,698,0,0,Condo,0,0,42
327000,256,88,1,1,698,9686,0,Condo,0,1,5
331100,251,87,1,1,700,9686,0,Condo,0,1,7
240000,139,42,1,1,703,0,1,Condo,0,0,13
320000,261,79,1,1,704,0,1,Condo,0,0,2
290800,257,78,1,1,704,0,1,Condo,0,0,0
375000,244,85,1,1,705,0,0,Condo,0,0,20
377000,316,109,1,1,709,111513,0,Condo,0,0,3
262500,201,69,1,1,711,0,0,Condo,0,0,70
216250,187,64,1,1,712,0,0,Bunglow,0,0,60
270000,218,66,1,1,722,0,1,Condo,0,0,20
235000,278,85,1,1,723,0,1,Condo,0,0,4
225000,118,41,1,1,724,0,0,Condo,0,0,51
370000,306,106,1,1,725,0,0,Condo,0,1,5
232000,243,74,1,1,736,0,1,Condo,0,0,10
281900,229,69,1,1,737,0,1,Condo,0,0,5
355000,298,103,1,1,740,0,0,Condo,0,0,6
350000,291,101,1,1,741,0,0,Condo,0,0,3
231900,118,41,1,1,750,0,0,Condo,0,0,41
284000,258,78,1,1,755,0,1,Condo,0,1,16
255000,190,66,1,1,759,0,0,Condo,0,1,53
285850,266,81,1,1,759,0,1,Condo,0,0,0
249298,251,76,1,1,759,0,1,Condo,0,1,0
380000,291,101,1,1,760,0,0,Condo,0,1,20
244800,190,66,1,1,767,0,0,Condo,0,1,67
397400,345,119,1,1,771,111513,0,Condo,0,0,0
345000,284,98,1,1,781,0,0,Condo,0,0,1
220000,221,67,1,1,792,0,1,Condo,0,0,22
279000,286,87,1,1,796,0,1,Condo,0,0,28
286900,184,56,1,1,797,0,1,Condo,0,0,1
220000,184,56,1,1,800,0,1,Condo,0,0,30
305000,150,49,1,1,805,0,0,Condo,0,0,64
409575,302,104,1,1,805,46609,0,Condo,0,0,1
300367,261,79,1,1,805,0,1,Condo,0,0,0
