ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Loan_Approved,Dependents_1,Dependents_2,Dependents_3+,Education_Not Graduate,Gender_Male,Married_Yes,Property_Area_Semiurban,Property_Area_Urban,Self_Employed_Yes
5849,0.0,128,360,1,1,False,False,False,False,True,False,False,True,False
4583,1508.0,128,360,1,0,True,False,False,False,True,True,False,False,False
3000,0.0,66,360,1,1,False,False,False,False,True,True,False,True,True
2583,2358.0,120,360,1,1,False,False,False,True,True,True,False,True,False
6000,0.0,141,360,1,1,False,False,False,False,True,False,False,True,False
5417,4196.0,267,360,1,1,False,True,False,False,True,True,False,True,True
2333,1516.0,95,360,1,1,False,False,False,True,True,True,False,True,False
3036,2504.0,158,360,0,0,False,False,True,False,True,True,True,False,False
4006,1526.0,168,360,1,1,False,True,False,False,True,True,False,True,False
12841,10968.0,349,360,1,0,True,False,False,False,True,True,True,False,False
3200,700.0,70,360,1,1,False,True,False,False,True,True,False,True,False
2500,1840.0,109,360,1,1,False,True,False,False,True,True,False,True,False
3073,8106.0,200,360,1,1,False,True,False,False,True,True,False,True,False
1853,2840.0,114,360,1,0,False,False,False,False,True,False,False,False,False
1299,1086.0,17,120,1,1,False,True,False,False,True,True,False,True,False
4950,0.0,125,360,1,1,False,False,False,False,True,False,False,True,False
3596,0.0,100,240,1,1,True,False,False,True,True,False,False,True,False
3510,0.0,76,360,0,0,False,False,False,False,False,False,False,True,False
4887,0.0,133,360,1,0,False,False,False,True,True,True,False,False,False
2600,3500.0,115,360,1,1,False,False,False,False,True,True,False,True,False
7660,0.0,104,360,0,0,False,False,False,True,True,True,False,True,False
5955,5625.0,315,360,1,1,True,False,False,False,True,True,False,True,False
2600,1911.0,116,360,0,0,False,False,False,True,True,True,True,False,False
3365,1917.0,112,360,0,0,False,True,False,True,True,True,False,False,False
3717,2925.0,151,360,1,0,True,False,False,False,True,True,True,False,False
9560,0.0,191,360,1,1,False,False,False,False,True,True,True,False,True
2799,2253.0,122,360,1,1,False,False,False,False,True,True,True,False,False
4226,1040.0,110,360,1,1,False,True,False,True,True,True,False,True,False
1442,0.0,35,360,1,0,False,False,False,True,True,False,False,True,False
3750,2083.0,120,360,1,1,False,True,False,False,False,False,True,False,False
4166,3369.0,201,360,1,0,True,False,False,False,True,True,False,True,False
3167,0.0,74,360,1,0,False,False,False,False,True,False,False,True,False
4692,0.0,106,360,1,0,True,False,False,False,True,False,False,False,True
3500,1667.0,114,360,1,1,False,False,False,False,True,True,True,False,False
12500,3000.0,320,360,1,0,False,False,True,False,True,False,False,False,False
2275,2067.0,128,360,1,1,False,False,False,False,True,True,False,True,False
1828,1330.0,100,360,0,0,False,False,False,False,True,True,False,True,False
3667,1459.0,144,360,1,1,False,False,False,False,False,True,True,False,False
4166,7210.0,184,360,1,1,False,False,False,False,True,False,False,True,False
3748,1668.0,110,360,1,1,False,False,False,True,True,False,True,False,False
3600,0.0,80,360,1,0,False,False,False,False,True,False,False,True,False
1800,1213.0,47,360,1,1,False,False,False,False,True,False,False,True,False
2400,0.0,75,360,1,1,False,False,False,False,True,True,False,True,False
3941,2336.0,134,360,1,1,False,False,False,False,True,True,True,False,False
4695,0.0,96,360,1,1,False,False,False,True,True,True,False,True,True
3410,0.0,88,360,1,1,False,False,False,False,False,False,False,True,False
5649,0.0,44,360,1,1,True,False,False,False,True,True,False,True,False
5821,0.0,144,360,1,1,False,False,False,False,True,True,False,True,False
2645,3440.0,120,360,0,0,False,False,False,False,False,True,False,True,False
4000,2275.0,144,360,1,1,False,False,False,False,False,False,True,False,False
1928,1644.0,100,360,1,1,False,False,False,True,False,True,True,False,False
3086,0.0,120,360,1,1,False,False,False,False,False,False,True,False,False
4230,0.0,112,360,1,0,False,False,False,False,False,False,True,False,False
4616,0.0,134,360,1,0,False,True,False,False,True,True,False,True,False
11500,0.0,286,360,0,0,True,False,False,False,False,True,False,True,True
2708,1167.0,97,360,1,1,False,True,False,False,True,True,True,False,False
2132,1591.0,96,360,1,1,False,False,False,False,True,True,True,False,False
3366,2200.0,135,360,1,0,False,False,False,False,True,True,False,False,False
8080,2250.0,180,360,1,1,True,False,False,False,True,True,False,True,False
3357,2859.0,144,360,1,1,False,True,False,True,True,True,False,True,False
2500,3796.0,120,360,1,1,False,False,False,False,True,True,False,True,False
3029,0.0,99,360,1,1,False,False,True,False,True,True,False,True,False
